timestamp,satisfied,engaging,intro_helpful,outro_helpful,project_effective,paths_effective,preference,balance_change,favorite_interaction,suggestions,comments
2025-11-21T12:19:43.739969,Yes,Yes,Yes,Yes,Yes,Moderately effective,2 Hackathons (30% of grade),More project work,,,
2025-11-21T12:20:34.953021,Yes,No,No,Yes,Yes,Very effective,2 Hackathons (30% of grade),,,,
2025-11-21T16:51:51.083269,No,Yes,No,Yes,No,Very effective,1 Hackathon (10%) - 1 Midterm (20%),Fewer theoretical assignments,,,
2025-11-21T16:52:06.770813,Yes,Yes,Yes,Yes,Yes,Very effective,2 Hackathons (30% of grade),,,,
2025-11-21T16:52:23.471980,No,Yes,Yes,Yes,Yes,Very effective,2 Hackathons (30% of grade),,,,
2025-11-22T15:31:10.388700,Yes,Yes,Yes,Yes,Yes,Very effective,2 Hackathons (30% of grade),,,,
2025-11-22T17:10:13.704736,Yes,Yes,Yes,Yes,Yes,Very effective,2 Hackathons (30% of grade),,,,
2025-11-24T13:39:16.255888,No,Yes,Yes,Yes,Yes,Very effective,2 Hackathons (30% of grade),More project work,,,
2025-11-27T15:57:39.712907,No,Yes,Yes,Yes,Yes,Moderately effective,1 Hackathon (10%) - 1 Midterm (20%),More in class demos,,,
2025-11-27T21:30:12.476491,No,Yes,Yes,Yes,Yes,Very effective,1 Hackathon (10%) - 1 Midterm (20%),more in class demos,,,
